id;code;name;sort_order;parent_id;create_date;create_by;last_modified_date;last_modified_by
1;Account Pizza;rich China Direct;34958;7098;2022-02-25T17:46:45;Developer efficient;2022-02-25T22:08:44;Colon Adaptive e-markets
2;Card;real-time blue;28140;80374;2022-02-25T11:34:02;Accounts;2022-02-25T06:51:44;Frozen Chicken navigating
3;engineer Dynamic;Handcrafted;82452;87203;2022-02-25T03:27:46;Pizza Handcrafted;2022-02-25T13:37:12;Director
4;Books Shore bandwidth-monitored;Paradigm;88404;37229;2022-02-25T18:33:20;e-markets Technician transition;2022-02-25T17:11:05;Functionality drive TCP
5;content Industrial North;experiences;27337;13585;2022-02-25T04:40:08;Configuration;2022-02-25T19:46:30;Iowa
6;Villages Silver;Handcrafted Movies;25756;27209;2022-02-25T16:35:08;Shirt;2022-02-25T15:58:15;AGP calculating North
7;THX;innovative mobile;47221;92330;2022-02-25T14:41:08;panel Consultant invoice;2022-02-25T14:03:22;Loan
8;SSL neutral Automotive;Village niches Ergonomic;94598;44608;2022-02-25T22:38:06;Intranet;2022-02-25T07:13:16;application adapter
9;Tuna RSS up;Terrace collaborative;53910;50539;2022-02-25T07:30:44;Fantastic;2022-02-25T19:00:03;Shoes Plastic
10;Bedfordshire Beauty Fish;homogeneous;1049;92596;2022-02-25T16:02:33;Avon;2022-02-25T03:53:07;FTP bandwidth Executive
