id;order_id;product_id;quantity;price;create_date
1;14612;17775;52600;65742;2022-02-25T19:00:29
2;29420;26176;11147;4480;2022-02-25T09:27:31
3;10404;58713;73419;73787;2022-02-25T04:02:03
4;51712;97071;28526;64581;2022-02-26T01:24:01
5;3026;50532;64023;89603;2022-02-25T11:50:40
6;129;15554;73712;17071;2022-02-25T22:09:43
7;88068;52311;36072;12908;2022-02-25T23:58:21
8;49355;20386;9611;86614;2022-02-25T20:53:13
9;12864;5599;70177;9177;2022-02-25T13:41:41
10;10827;30539;88359;74109;2022-02-25T04:20:26
