id;product_id;price;apply_date;create_by
1;77131;26945;2022-02-25T15:04:21;SCSI
2;73887;24465;2022-02-25T12:26:40;withdrawal Account quantifying
3;12539;44071;2022-02-25T19:42:56;Loan deposit auxiliary
4;37836;7704;2022-02-25T09:55:50;Shoes
5;67083;29740;2022-02-25T23:48:08;Coordinator Buckinghamshire
6;28226;80843;2022-02-25T16:11:43;Arizona CSS
7;57833;28710;2022-02-25T18:36:20;transmitting Louisiana District
8;77268;58442;2022-02-25T11:13:50;multi-tasking
9;28738;65843;2022-02-26T00:30:27;Granite Fish
10;31321;82269;2022-02-25T06:04:00;SAS driver backing
